,0,mean,std,min,max,median,mode,q1,q2,q3
"alpha_('Water_node_45', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_45', 'Water', 'Water')",1.738,1.738,0.0,1.738,1.738,1.738,1.738,1.738,1.738,1.738
"alpha_('Water_node_46', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_46', 'Water', 'Water')",0.985,0.985,0.0,0.985,0.985,0.985,0.985,0.985,0.985,0.985
"alpha_('Water_node_47', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_47', 'Water', 'Water')",1.408,1.408,0.0,1.408,1.408,1.408,1.408,1.408,1.408,1.408
"alpha_('Water_node_48', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_48', 'Water', 'Water')",2.295,2.295,0.0,2.295,2.295,2.295,2.295,2.295,2.295,2.295
"log_phi_('Gas_node_3', 'Gas', 'Gas')",4.293195420968632,4.293195420968632,0.0,4.293195420968632,4.293195420968632,4.293195420968632,4.293195420968632,4.293195420968632,4.293195420968632,4.293195420968632
"log_phi_('Gas_node_4', 'Gas', 'Gas')",4.215086182925942,4.215086182925942,0.0,4.215086182925942,4.215086182925942,4.215086182925942,4.215086182925942,4.215086182925942,4.215086182925942,4.215086182925942
"log_phi_('Gas_node_5', 'Gas', 'Gas')",4.216562194947825,4.216562194947825,0.0,4.216562194947825,4.216562194947825,4.216562194947825,4.216562194947825,4.216562194947825,4.216562194947825,4.216562194947825
"log_phi_('Gas_node_6', 'Gas', 'Gas')",2.8735646395797834,2.8735646395797834,0.0,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834
